item_id,domain,condition,rag,y,conf,mce,brier,tool,forbidden,parse_ok
d1.22,1,high_c,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.22,1,high_c,ON,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.22,1,verify,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.22,1,verify,ON,1.0,0.85,0.15,0.025766666666666663,0.0,0.0,1.0
d1.23,1,cot,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.23,1,cot,ON,1.0,0.9,0.10000000000000002,0.011666666666666667,0.0,0.0,1.0
d1.23,1,dual,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.23,1,dual,ON,1.0,0.9066666666666666,0.09333333333333334,0.010466666666666668,0.0,0.0,1.0
d1.23,1,high_c,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.23,1,high_c,ON,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.23,1,verify,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.23,1,verify,ON,1.0,0.9166666666666666,0.08333333333333337,0.009166666666666672,0.0,0.0,1.0
d1.24,1,cot,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.24,1,cot,ON,1.0,0.7999999999999999,0.19999999999999998,0.045000000000000005,0.0,0.0,1.0
d1.24,1,dual,OFF,0.6666666666666666,0.7999999999999999,0.20000000000000004,0.085,0.0,0.0,0.6666666666666666
d1.24,1,dual,ON,1.0,0.9,0.10000000000000002,0.011666666666666667,0.0,0.0,1.0
d1.24,1,high_c,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.24,1,high_c,ON,1.0,0.7999999999999999,0.20000000000000004,0.04500000000000001,0.0,0.0,1.0
d1.24,1,verify,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.24,1,verify,ON,1.0,0.9,0.10000000000000002,0.011666666666666667,0.0,0.0,1.0
d2.01,2,cot,OFF,1.0,0.8233333333333334,0.17666666666666664,0.051899999999999995,1.0,0.0,1.0
d2.01,2,cot,ON,1.0,0.8733333333333334,0.12666666666666668,0.017133333333333337,0.3333333333333333,0.0,1.0
d2.01,2,dual,OFF,0.6666666666666666,0.7799999999999999,0.21999999999999997,0.0876,0.6666666666666666,0.0,0.6666666666666666
d2.01,2,dual,ON,1.0,0.8733333333333334,0.12666666666666668,0.017133333333333334,0.3333333333333333,0.0,1.0
d2.01,2,high_c,OFF,1.0,0.7166666666666667,0.2833333333333333,0.08916666666666666,0.6666666666666666,0.0,1.0
d2.01,2,high_c,ON,1.0,0.8666666666666667,0.13333333333333333,0.018333333333333337,0.0,0.0,1.0
d2.01,2,verify,OFF,1.0,0.8666666666666667,0.1333333333333333,0.021599999999999994,0.6666666666666666,0.0,1.0
d2.01,2,verify,ON,1.0,0.9066666666666666,0.09333333333333334,0.010466666666666668,0.3333333333333333,0.0,1.0
d2.02,2,cot,OFF,0.3333333333333333,0.5499999999999999,0.45,0.20750000000000002,0.6666666666666666,0.0,0.3333333333333333
d2.02,2,cot,ON,0.6666666666666666,0.85,0.3833333333333333,0.2558333333333333,0.0,0.0,1.0
d2.02,2,dual,OFF,0.3333333333333333,0.56,0.43999999999999995,0.20079999999999998,0.0,0.0,0.3333333333333333
d2.02,2,dual,ON,0.3333333333333333,0.7333333333333334,0.5,0.3316666666666666,0.0,0.0,0.6666666666666666
d2.02,2,high_c,OFF,1.0,0.7000000000000001,0.3,0.09026666666666666,0.0,0.0,1.0
d2.02,2,high_c,ON,0.6666666666666666,0.8266666666666667,0.36000000000000004,0.21780000000000002,0.0,0.0,1.0
d2.02,2,verify,OFF,0.6666666666666666,0.6533333333333333,0.3466666666666667,0.13359999999999997,0.6666666666666666,0.0,0.6666666666666666
d2.02,2,verify,ON,0.6666666666666666,0.75,0.4166666666666667,0.22976666666666667,0.3333333333333333,0.0,1.0
d2.03,2,cot,OFF,0.0,0.64,0.64,0.44880000000000003,1.0,0.0,0.3333333333333333
d2.03,2,cot,ON,1.0,0.92,0.07999999999999996,0.006399999999999993,1.0,0.0,1.0
d2.03,2,dual,OFF,0.0,0.5,0.5,0.25,0.6666666666666666,0.0,0.0
d2.03,2,dual,ON,1.0,0.8966666666666666,0.10333333333333332,0.011766666666666663,0.6666666666666666,0.0,1.0
d2.03,2,high_c,OFF,0.0,0.7999999999999999,0.7999999999999999,0.6849999999999999,1.0,0.0,0.6666666666666666
d2.03,2,high_c,ON,1.0,0.9066666666666666,0.09333333333333334,0.010466666666666668,0.6666666666666666,0.0,1.0
d2.03,2,verify,OFF,0.0,0.9499999999999998,0.9499999999999998,0.9025,1.0,0.0,1.0
d2.03,2,verify,ON,1.0,0.94,0.06000000000000002,0.003800000000000001,1.0,0.0,1.0
d2.04,2,cot,OFF,0.0,0.5733333333333334,0.5733333333333334,0.33946666666666664,1.0,0.0,0.3333333333333333
d2.04,2,cot,ON,0.6666666666666666,0.6333333333333333,0.3666666666666667,0.14333333333333334,0.3333333333333333,0.0,0.6666666666666666
d2.04,2,dual,OFF,0.0,0.6633333333333333,0.6633333333333333,0.44176666666666664,1.0,0.0,1.0
d2.04,2,dual,ON,1.0,0.7066666666666667,0.29333333333333333,0.08639999999999999,0.3333333333333333,0.0,1.0
d2.04,2,high_c,OFF,0.0,0.5,0.5,0.25,1.0,0.0,0.0
d2.04,2,high_c,ON,0.6666666666666666,0.5233333333333333,0.47666666666666674,0.2503,0.6666666666666666,0.0,0.6666666666666666
d2.04,2,verify,OFF,0.0,0.5499999999999999,0.5499999999999999,0.30750000000000005,1.0,0.0,0.3333333333333333
d2.04,2,verify,ON,1.0,0.7000000000000001,0.3,0.10166666666666668,0.3333333333333333,0.0,1.0
d2.05,2,cot,OFF,1.0,0.7266666666666667,0.2733333333333333,0.07639999999999998,0.0,0.0,1.0
d2.05,2,cot,ON,1.0,0.8166666666666668,0.18333333333333335,0.035833333333333335,0.0,0.0,1.0
d2.05,2,dual,OFF,0.6666666666666666,0.6333333333333333,0.3666666666666667,0.14359999999999998,0.0,0.0,0.6666666666666666
d2.05,2,dual,ON,1.0,0.7399999999999999,0.26,0.0684,0.0,0.0,1.0
d2.05,2,high_c,OFF,1.0,0.6666666666666666,0.3333333333333333,0.11166666666666665,0.0,0.0,1.0
d2.05,2,high_c,ON,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
